date,time,user_cpu
2017-11-02,14:25:17,31.3033
2017-11-02,14:25:19,18.0147
2017-11-02,14:25:21,25.4279
2017-11-02,14:25:23,10.9890
2017-11-02,14:25:25,7.7111
2017-11-02,14:25:27,10.2689
2017-11-02,14:25:29,10.1467
2017-11-02,14:25:32,12.5917
2017-11-02,14:25:34,18.9487
2017-11-02,14:25:36,26.5931
2017-11-02,14:25:38,54.7445
2017-11-02,14:25:40,37.4847
2017-11-02,14:25:42,23.6230
2017-11-02,14:25:44,43.1707
2017-11-02,14:25:46,63.3050
2017-11-02,14:25:49,48.4108
2017-11-02,14:25:51,27.1951
2017-11-02,14:25:53,28.3966
2017-11-02,14:25:55,48.1752
