date,time,sda_read,sda_write,sda1_read,sda1_write,sda2_read,sda2_write,sda5_read,sda5_write,sda6_read,sda6_write,sda7_read,sda7_write,sda8_read,sda8_write,sda9_read,sda9_write,sda10_read,sda10_write,sda11_read,sda11_write,sda12_read,sda12_write
2017-11-02,14:25:15,166.62,301.20,0.07,0.00,0.00,0.00,0.04,0.00,0.29,0.04,0.04,0.00,0.04,0.00,0.15,16.54,70.43,22.71,0.06,0.00,95.49,261.90
2017-11-02,14:25:17,166.60,301.22,0.07,0.00,0.00,0.00,0.04,0.00,0.29,0.04,0.04,0.00,0.04,0.00,0.15,16.54,70.42,22.71,0.06,0.00,95.48,261.93
2017-11-02,14:25:20,166.57,301.18,0.07,0.00,0.00,0.00,0.04,0.00,0.29,0.04,0.04,0.00,0.04,0.00,0.15,16.54,70.41,22.71,0.06,0.00,95.46,261.89
2017-11-02,14:25:23,166.55,301.14,0.07,0.00,0.00,0.00,0.04,0.00,0.29,0.04,0.04,0.00,0.04,0.00,0.15,16.53,70.40,22.70,0.06,0.00,95.45,261.85
2017-11-02,14:25:25,166.52,301.10,0.07,0.00,0.00,0.00,0.04,0.00,0.29,0.04,0.04,0.00,0.04,0.00,0.15,16.53,70.39,22.70,0.06,0.00,95.43,261.82
2017-11-02,14:25:28,166.50,301.06,0.07,0.00,0.00,0.00,0.04,0.00,0.29,0.04,0.04,0.00,0.04,0.00,0.15,16.53,70.38,22.70,0.06,0.00,95.42,261.78
2017-11-02,14:25:31,166.47,301.02,0.07,0.00,0.00,0.00,0.04,0.00,0.29,0.04,0.04,0.00,0.04,0.00,0.15,16.53,70.37,22.70,0.06,0.00,95.40,261.75
2017-11-02,14:25:33,166.45,300.97,0.07,0.00,0.00,0.00,0.04,0.00,0.29,0.04,0.04,0.00,0.04,0.00,0.15,16.52,70.36,22.69,0.06,0.00,95.39,261.71
2017-11-02,14:25:36,166.43,300.93,0.07,0.00,0.00,0.00,0.04,0.00,0.29,0.04,0.04,0.00,0.04,0.00,0.15,16.52,70.35,22.69,0.06,0.00,95.38,261.67
2017-11-02,14:25:39,166.40,300.89,0.07,0.00,0.00,0.00,0.04,0.00,0.29,0.04,0.04,0.00,0.04,0.00,0.15,16.52,70.34,22.69,0.06,0.00,95.37,261.63
2017-11-02,14:25:41,166.38,300.86,0.07,0.00,0.00,0.00,0.04,0.00,0.29,0.04,0.04,0.00,0.04,0.00,0.15,16.52,70.32,22.69,0.06,0.00,95.35,261.60
2017-11-02,14:25:44,166.35,300.81,0.07,0.00,0.00,0.00,0.04,0.00,0.29,0.04,0.04,0.00,0.04,0.00,0.15,16.51,70.31,22.68,0.06,0.00,95.34,261.57
2017-11-02,14:25:47,166.33,300.77,0.07,0.00,0.00,0.00,0.04,0.00,0.29,0.04,0.04,0.00,0.04,0.00,0.15,16.51,70.30,22.68,0.06,0.00,95.32,261.53
2017-11-02,14:25:49,166.30,300.73,0.07,0.00,0.00,0.00,0.04,0.00,0.29,0.04,0.04,0.00,0.04,0.00,0.15,16.51,70.29,22.68,0.06,0.00,95.31,261.49
2017-11-02,14:25:52,166.28,300.69,0.07,0.00,0.00,0.00,0.04,0.00,0.29,0.04,0.04,0.00,0.04,0.00,0.15,16.51,70.28,22.68,0.06,0.00,95.29,261.45
2017-11-02,14:25:55,166.25,301.29,0.07,0.00,0.00,0.00,0.04,0.00,0.29,0.04,0.04,0.00,0.04,0.00,0.15,16.50,70.27,22.68,0.06,0.00,95.28,262.06
2017-11-02,14:25:57,166.26,301.25,0.07,0.00,0.00,0.00,0.04,0.00,0.29,0.04,0.04,0.00,0.04,0.00,0.15,16.50,70.29,22.67,0.06,0.00,95.27,262.02
2017-11-02,14:26:00,166.23,301.21,0.07,0.00,0.00,0.00,0.04,0.00,0.29,0.04,0.04,0.00,0.04,0.00,0.15,16.50,70.28,22.67,0.06,0.00,95.25,261.99
2017-11-02,14:26:03,166.21,301.17,0.07,0.00,0.00,0.00,0.04,0.00,0.29,0.04,0.04,0.00,0.04,0.00,0.15,16.50,70.27,22.67,0.06,0.00,95.24,261.95
2017-11-02,14:26:05,166.18,301.12,0.07,0.00,0.00,0.00,0.04,0.00,0.29,0.04,0.04,0.00,0.04,0.00,0.15,16.49,70.26,22.66,0.06,0.00,95.22,261.91
