date,time,mem,vmem
2017-11-02,14:25:15,76.5286,14.9460
2017-11-02,14:25:17,67.3478,13.8572
2017-11-02,14:25:19,67.3436,13.9842
2017-11-02,14:25:21,67.3529,13.9842
2017-11-02,14:25:23,67.3413,13.9386
2017-11-02,14:25:25,67.3406,13.8986
2017-11-02,14:25:27,67.3385,13.8986
2017-11-02,14:25:29,67.3335,13.8731
2017-11-02,14:25:31,67.3412,13.8931
2017-11-02,14:25:33,67.3416,13.8531
2017-11-02,14:25:35,67.3464,13.8931
2017-11-02,14:25:37,67.3375,13.8731
2017-11-02,14:25:39,67.3349,13.8531
2017-11-02,14:25:41,67.3458,13.8531
2017-11-02,14:25:43,67.3445,13.8531
2017-11-02,14:25:46,67.3527,13.8531
2017-11-02,14:25:48,67.3423,13.8531
2017-11-02,14:25:50,67.3508,13.8531
2017-11-02,14:25:52,67.3536,13.8545
2017-11-02,14:25:54,67.3464,13.8745
2017-11-02,14:25:56,67.2485,13.7655
2017-11-02,14:25:58,67.2250,13.7724
2017-11-02,14:26:00,67.2342,13.7724
2017-11-02,14:26:02,67.2308,13.7724
2017-11-02,14:26:04,67.2274,13.7724
2017-11-02,14:26:06,67.2224,13.8124
2017-11-02,14:26:08,67.2408,13.7924
2017-11-02,14:26:10,67.2359,13.7924
2017-11-02,14:26:12,67.2419,13.8124
2017-11-02,14:26:14,67.2170,13.6723
2017-11-02,14:26:16,67.2224,13.5122
2017-11-02,14:26:18,67.2193,13.5122
2017-11-02,14:26:21,67.2231,13.5122
2017-11-02,14:26:23,67.2255,13.5522
2017-11-02,14:26:25,67.2248,13.5122
2017-11-02,14:26:27,67.2404,13.5122
2017-11-02,14:26:29,67.2234,13.5122
2017-11-02,14:26:31,67.2265,13.5322
2017-11-02,14:26:33,67.2434,13.4721
2017-11-02,14:26:35,67.2390,13.5322
2017-11-02,14:26:37,67.2449,13.5322
2017-11-02,14:26:39,67.2422,13.5522
2017-11-02,14:26:41,67.2428,13.5522
2017-11-02,14:26:43,67.2519,13.5522
2017-11-02,14:26:45,67.2386,13.5522
2017-11-02,14:26:47,67.2592,13.5522
2017-11-02,14:26:49,67.2346,13.5522
2017-11-02,14:26:51,67.2580,13.5722
2017-11-02,14:26:53,67.2492,13.5122
2017-11-02,14:26:55,67.2433,13.5322
2017-11-02,14:26:58,67.2416,13.5322
2017-11-02,14:27:00,67.2415,13.5722
2017-11-02,14:27:02,67.2406,13.5122
2017-11-02,14:27:04,67.2509,13.4921
2017-11-02,14:27:06,67.2519,13.4721
2017-11-02,14:27:08,67.2519,13.4321
2017-11-02,14:27:10,67.2456,13.3921
2017-11-02,14:27:12,67.2645,13.4321
2017-11-02,14:27:14,67.2387,13.4121
2017-11-02,14:27:16,67.2603,13.4721
2017-11-02,14:27:18,67.3021,13.4721
2017-11-02,14:27:20,67.3219,13.4721
2017-11-02,14:27:22,67.3053,13.4521
2017-11-02,14:27:24,67.3212,13.4921
2017-11-02,14:27:26,67.3193,13.4921
2017-11-02,14:27:28,67.2973,13.5322
2017-11-02,14:27:30,67.2994,13.5522
2017-11-02,14:27:33,67.2982,13.5322
2017-11-02,14:27:35,67.3060,13.5522
2017-11-02,14:27:37,67.2895,13.5322
2017-11-02,14:27:39,67.2991,13.5322
2017-11-02,14:27:41,67.2987,13.5322
2017-11-02,14:27:43,67.3106,13.4921
2017-11-02,14:27:45,67.3049,13.5322
2017-11-02,14:27:47,67.2948,13.5522
2017-11-02,14:27:49,67.3074,13.5522
2017-11-02,14:27:51,67.3114,13.5322
2017-11-02,14:27:53,67.2948,13.5122
2017-11-02,14:27:55,67.3056,13.4921
2017-11-02,14:27:57,67.3048,13.4921
2017-11-02,14:27:59,67.3047,13.4721
2017-11-02,14:28:01,67.3136,13.4721
2017-11-02,14:28:03,67.3191,13.4721
2017-11-02,14:28:05,67.2995,13.4521
2017-11-02,14:28:08,67.3088,13.4413
2017-11-02,14:28:10,67.3045,13.4413
2017-11-02,14:28:12,67.3286,13.4813
2017-11-02,14:28:14,67.3199,13.5014
2017-11-02,14:28:16,67.3318,13.5414
2017-11-02,14:28:18,67.3346,13.5214
2017-11-02,14:28:20,67.3426,13.5014
2017-11-02,14:28:22,67.3404,13.4813
2017-11-02,14:28:24,67.3342,13.4813
2017-11-02,14:28:26,67.3361,13.4613
2017-11-02,14:28:28,67.3406,13.4613
2017-11-02,14:28:30,67.3395,13.4613
2017-11-02,14:28:32,67.3237,13.4413
2017-11-02,14:28:34,67.3309,13.4413
2017-11-02,14:28:36,67.3458,13.4413
2017-11-02,14:28:38,67.3491,13.5414
2017-11-02,14:28:40,67.3442,13.5214
2017-11-02,14:28:43,67.3513,13.5014
2017-11-02,14:28:45,67.3363,13.4813
2017-11-02,14:28:47,67.3444,13.4813
2017-11-02,14:28:49,67.3363,13.4213
2017-11-02,14:28:51,67.3437,13.4213
2017-11-02,14:28:53,67.3469,13.4013
2017-11-02,14:28:55,67.3392,13.4013
2017-11-02,14:28:57,67.3260,13.4013
2017-11-02,14:28:59,67.3330,13.4013
2017-11-02,14:29:01,67.3438,13.4013
2017-11-02,14:29:03,67.3486,13.3813
2017-11-02,14:29:05,67.3428,13.3813
2017-11-02,14:29:07,67.3481,13.3813
2017-11-02,14:29:09,67.3360,13.3813
2017-11-02,14:29:11,67.3445,13.3613
2017-11-02,14:29:13,67.3426,13.3613
2017-11-02,14:29:15,67.3619,13.3613
2017-11-02,14:29:18,67.3442,13.3613
2017-11-02,14:29:20,67.3416,13.3613
2017-11-02,14:29:22,67.3282,13.4013
2017-11-02,14:29:24,67.3487,13.3813
2017-11-02,14:29:26,67.3612,13.4613
2017-11-02,14:29:28,67.3456,13.4613
2017-11-02,14:29:30,67.3453,13.4613
2017-11-02,14:29:32,67.3424,13.4813
2017-11-02,14:29:34,67.3514,13.4813
2017-11-02,14:29:36,67.3566,13.4813
2017-11-02,14:29:38,67.3580,13.4613
2017-11-02,14:29:40,67.3470,13.4813
2017-11-02,14:29:42,67.3615,13.4813
2017-11-02,14:29:44,67.3558,13.4413
2017-11-02,14:29:46,67.3638,13.4613
2017-11-02,14:29:48,67.3558,13.4613
2017-11-02,14:29:50,67.3637,13.4413
2017-11-02,14:29:53,67.3723,13.4413
2017-11-02,14:29:55,67.3827,13.4213
2017-11-02,14:29:57,67.3664,13.4413
2017-11-02,14:29:59,67.3800,13.5214
2017-11-02,14:30:01,67.3840,13.5014
2017-11-02,14:30:03,67.3800,13.4827
2017-11-02,14:30:05,67.3594,13.4827
2017-11-02,14:30:07,67.3733,13.4427
2017-11-02,14:30:09,67.3707,13.4827
2017-11-02,14:30:11,67.3831,13.4227
2017-11-02,14:30:13,67.3758,13.4427
2017-11-02,14:30:15,67.3752,13.4627
2017-11-02,14:30:17,67.3992,13.5027
2017-11-02,14:30:19,67.4032,13.5027
2017-11-02,14:30:21,67.3967,13.5027
2017-11-02,14:30:23,67.3922,13.5027
2017-11-02,14:30:25,67.3994,13.5027
2017-11-02,14:30:28,67.3845,13.5027
2017-11-02,14:30:30,67.3996,13.5027
2017-11-02,14:30:32,67.4066,13.5027
2017-11-02,14:30:34,67.4020,13.5427
2017-11-02,14:30:36,67.4014,13.5027
2017-11-02,14:30:38,67.3993,13.4840
2017-11-02,14:30:40,67.3943,13.4640
2017-11-02,14:30:42,67.4041,13.4640
2017-11-02,14:30:44,67.3929,13.4840
2017-11-02,14:30:46,67.3995,13.4240
2017-11-02,14:30:48,67.4015,13.4240
2017-11-02,14:30:50,67.4029,13.4440
2017-11-02,14:30:52,67.4008,13.4440
2017-11-02,14:30:54,67.4082,13.4240
2017-11-02,14:30:56,67.3984,13.4240
2017-11-02,14:30:58,67.4082,13.4040
2017-11-02,14:31:00,67.4004,13.4040
2017-11-02,14:31:03,67.4108,13.4040
2017-11-02,14:31:05,67.3984,13.3840
2017-11-02,14:31:07,67.3989,13.3840
2017-11-02,14:31:09,67.4093,13.4240
2017-11-02,14:31:11,67.4272,13.3840
