date,time,eth1_recv,eth1_send,lo_recv,lo_send,wlan0_recv,wlan0_send
2017-11-02,14:25:17,0.0000,0.0000,19382.0000,19382.0000,3391.0000,829.5000
2017-11-02,14:25:19,0.0000,0.0000,25499.5000,25499.5000,980.5000,188.0000
2017-11-02,14:25:21,0.0000,0.0000,13961.5000,13961.5000,351.0000,94.0000
2017-11-02,14:25:23,0.0000,0.0000,13770.0000,13770.0000,455.0000,94.0000
2017-11-02,14:25:25,0.0000,0.0000,7542.5000,7542.5000,534.0000,47.0000
2017-11-02,14:25:27,0.0000,0.0000,26105.5000,26105.5000,838.5000,188.0000
2017-11-02,14:25:29,0.0000,0.0000,23198.5000,23198.5000,709.0000,0.0000
2017-11-02,14:25:32,0.0000,0.0000,18898.5000,18898.5000,786.5000,94.0000
2017-11-02,14:25:34,0.0000,0.0000,7761.0000,7761.0000,614.0000,47.0000
2017-11-02,14:25:36,0.0000,0.0000,5210.5000,5210.5000,1966.5000,94.0000
2017-11-02,14:25:38,0.0000,0.0000,9818.5000,9818.5000,3314.5000,285.0000
2017-11-02,14:25:40,0.0000,0.0000,11104.5000,11104.5000,775.0000,188.0000
2017-11-02,14:25:42,0.0000,0.0000,9697.5000,9697.5000,883.5000,96.5000
2017-11-02,14:25:44,0.0000,0.0000,4691.0000,4691.0000,1536.0000,409.0000
2017-11-02,14:25:46,0.0000,0.0000,5536.5000,5536.5000,716.5000,141.0000
2017-11-02,14:25:49,0.0000,0.0000,8556.5000,8556.5000,485.0000,0.0000
2017-11-02,14:25:51,0.0000,0.0000,21722.5000,21722.5000,1390.0000,94.0000
2017-11-02,14:25:53,0.0000,0.0000,22999.5000,22999.5000,473.5000,94.0000
2017-11-02,14:25:55,0.0000,0.0000,4798.0000,4798.0000,792.5000,0.0000
2017-11-02,14:25:57,0.0000,0.0000,12322.5000,12322.5000,896.5000,78.0000
2017-11-02,14:25:59,0.0000,0.0000,16820.5000,16820.5000,485.0000,80.0000
2017-11-02,14:26:01,0.0000,0.0000,8486.5000,8486.5000,655.5000,0.0000
2017-11-02,14:26:03,0.0000,0.0000,10522.5000,10522.5000,517.5000,47.0000
2017-11-02,14:26:05,0.0000,0.0000,4037.0000,4037.0000,425.0000,0.0000
2017-11-02,14:26:08,0.0000,0.0000,6650.5000,6650.5000,335.0000,94.0000
2017-11-02,14:26:10,0.0000,0.0000,10672.5000,10672.5000,485.0000,0.0000
2017-11-02,14:26:12,0.0000,0.0000,13422.5000,13422.5000,755.0000,0.0000
2017-11-02,14:26:14,0.0000,0.0000,23172.5000,23172.5000,613.5000,94.0000
2017-11-02,14:26:16,0.0000,0.0000,3473.5000,3473.5000,979.0000,188.0000
2017-11-02,14:26:18,0.0000,0.0000,17209.5000,17209.5000,552.5000,0.0000
2017-11-02,14:26:20,0.0000,0.0000,10748.5000,10748.5000,444.0000,47.0000
2017-11-02,14:26:22,0.0000,0.0000,17944.5000,17944.5000,655.0000,94.0000
2017-11-02,14:26:24,0.0000,0.0000,23976.0000,23976.0000,605.0000,127.0000
2017-11-02,14:26:27,0.0000,0.0000,2701.5000,2701.5000,575.0000,0.0000
2017-11-02,14:26:29,0.0000,0.0000,18326.5000,18326.5000,460.0000,47.0000
2017-11-02,14:26:31,0.0000,0.0000,14504.5000,14504.5000,530.0000,0.0000
2017-11-02,14:26:33,0.0000,0.0000,11884.5000,11884.5000,743.5000,0.0000
2017-11-02,14:26:35,0.0000,0.0000,7829.0000,7829.0000,587.0000,47.0000
2017-11-02,14:26:37,0.0000,0.0000,4067.0000,4067.0000,740.5000,47.0000
2017-11-02,14:26:39,0.0000,0.0000,9294.5000,9294.5000,1538.5000,0.0000
2017-11-02,14:26:41,0.0000,0.0000,8388.5000,8388.5000,1097.5000,94.0000
2017-11-02,14:26:43,0.0000,0.0000,17512.5000,17512.5000,492.0000,0.0000
2017-11-02,14:26:46,0.0000,0.0000,9337.0000,9337.0000,690.0000,47.0000
2017-11-02,14:26:48,0.0000,0.0000,9292.5000,9292.5000,735.0000,47.0000
2017-11-02,14:26:50,0.0000,0.0000,23042.5000,23042.5000,576.5000,0.0000
2017-11-02,14:26:52,0.0000,0.0000,8484.5000,8484.5000,425.0000,47.0000
2017-11-02,14:26:54,0.0000,0.0000,8170.5000,8170.5000,811.0000,0.0000
2017-11-02,14:26:56,0.0000,0.0000,4359.0000,4359.0000,1244.5000,0.0000
2017-11-02,14:26:58,0.0000,0.0000,5637.5000,5637.5000,789.5000,0.0000
2017-11-02,14:27:00,0.0000,0.0000,19336.5000,19336.5000,607.5000,0.0000
2017-11-02,14:27:02,0.0000,0.0000,18986.5000,18986.5000,515.0000,0.0000
2017-11-02,14:27:05,0.0000,0.0000,25330.5000,25330.5000,485.0000,0.0000
2017-11-02,14:27:07,0.0000,0.0000,5627.0000,5627.0000,1073.5000,0.0000
2017-11-02,14:27:09,0.0000,0.0000,22144.5000,22144.5000,1295.0000,33.0000
2017-11-02,14:27:11,0.0000,0.0000,32142.5000,32142.5000,7985.0000,0.0000
2017-11-02,14:27:13,0.0000,0.0000,18604.5000,18604.5000,8243.5000,0.0000
2017-11-02,14:27:15,0.0000,0.0000,19652.0000,19652.0000,1664.5000,0.0000
2017-11-02,14:27:17,0.0000,0.0000,2868.0000,2868.0000,1501.5000,190.0000
2017-11-02,14:27:19,0.0000,0.0000,21613.0000,21613.0000,4380.5000,1960.0000
2017-11-02,14:27:21,0.0000,0.0000,23630.5000,23630.5000,1671.0000,141.0000
2017-11-02,14:27:24,0.0000,0.0000,27558.5000,27558.5000,1140.5000,188.0000
2017-11-02,14:27:26,0.0000,0.0000,11595.0000,11595.0000,427.0000,47.0000
2017-11-02,14:27:28,0.0000,0.0000,3520.0000,3520.0000,518.0000,184.0000
2017-11-02,14:27:30,0.0000,0.0000,16944.5000,16944.5000,500.0000,0.0000
2017-11-02,14:27:32,0.0000,0.0000,9434.5000,9434.5000,869.0000,47.0000
2017-11-02,14:27:34,0.0000,0.0000,8414.5000,8414.5000,685.0000,141.0000
2017-11-02,14:27:36,0.0000,0.0000,9132.0000,9132.0000,563.5000,0.0000
2017-11-02,14:27:38,0.0000,0.0000,4754.5000,4754.5000,982.0000,43.0000
2017-11-02,14:27:40,0.0000,0.0000,8240.5000,8240.5000,5323.5000,0.0000
2017-11-02,14:27:43,0.0000,0.0000,21103.5000,21103.5000,1157.0000,146.0000
2017-11-02,14:27:45,0.0000,0.0000,16960.5000,16960.5000,1480.5000,235.0000
2017-11-02,14:27:47,0.0000,0.0000,4289.0000,4289.0000,1323.0000,141.0000
2017-11-02,14:27:49,0.0000,0.0000,8384.5000,8384.5000,1144.0000,137.0000
2017-11-02,14:27:51,0.0000,0.0000,18340.5000,18340.5000,698.0000,362.0000
2017-11-02,14:27:53,0.0000,0.0000,22874.5000,22874.5000,1375.5000,47.0000
2017-11-02,14:27:55,0.0000,0.0000,20820.5000,20820.5000,1220.0000,94.0000
2017-11-02,14:27:57,0.0000,0.0000,3540.0000,3540.0000,567.0000,94.0000
2017-11-02,14:28:00,0.0000,0.0000,21702.5000,21702.5000,510.0000,137.0000
2017-11-02,14:28:02,0.0000,0.0000,26974.5000,26974.5000,443.0000,47.0000
2017-11-02,14:28:04,0.0000,0.0000,23502.5000,23502.5000,670.5000,31.0000
2017-11-02,14:28:06,0.0000,0.0000,9910.0000,9910.0000,950.0000,0.0000
2017-11-02,14:28:08,0.0000,0.0000,3153.5000,3153.5000,1088.0000,137.0000
2017-11-02,14:28:10,0.0000,0.0000,17518.5000,17518.5000,889.0000,94.0000
2017-11-02,14:28:12,0.0000,0.0000,8492.5000,8492.5000,754.5000,0.0000
2017-11-02,14:28:14,0.0000,0.0000,8492.5000,8492.5000,612.0000,94.0000
2017-11-02,14:28:16,0.0000,0.0000,18232.0000,18232.0000,1106.5000,94.0000
2017-11-02,14:28:19,0.0000,0.0000,11728.0000,11728.0000,1005.0000,43.0000
2017-11-02,14:28:21,0.0000,0.0000,24628.5000,24628.5000,365.0000,94.0000
2017-11-02,14:28:23,0.0000,0.0000,25762.5000,25762.5000,395.0000,188.0000
2017-11-02,14:28:25,0.0000,0.0000,26644.5000,26644.5000,335.0000,0.0000
2017-11-02,14:28:27,0.0000,0.0000,16847.0000,16847.0000,485.0000,47.0000
2017-11-02,14:28:29,0.0000,0.0000,7832.5000,7832.5000,518.0000,43.0000
2017-11-02,14:28:31,0.0000,0.0000,25930.5000,25930.5000,365.0000,0.0000
2017-11-02,14:28:33,0.0000,0.0000,25932.5000,25932.5000,842.5000,0.0000
2017-11-02,14:28:35,0.0000,0.0000,23126.5000,23126.5000,1348.0000,0.0000
2017-11-02,14:28:38,0.0000,0.0000,6150.0000,6150.0000,735.0000,47.0000
2017-11-02,14:28:40,0.0000,0.0000,21004.5000,21004.5000,596.0000,43.0000
2017-11-02,14:28:42,0.0000,0.0000,25608.5000,25608.5000,735.5000,0.0000
2017-11-02,14:28:44,0.0000,0.0000,18247.5000,18247.5000,849.5000,146.0000
2017-11-02,14:28:46,0.0000,0.0000,21164.0000,21164.0000,739.0000,94.0000
2017-11-02,14:28:48,0.0000,0.0000,5483.5000,5483.5000,479.0000,184.0000
2017-11-02,14:28:50,0.0000,0.0000,25236.5000,25236.5000,425.0000,0.0000
2017-11-02,14:28:52,0.0000,0.0000,28492.5000,28492.5000,493.0000,94.0000
2017-11-02,14:28:54,0.0000,0.0000,16162.5000,16162.5000,766.5000,0.0000
2017-11-02,14:28:57,0.0000,0.0000,11014.0000,11014.0000,795.0000,31.0000
2017-11-02,14:28:59,0.0000,0.0000,7222.5000,7222.5000,920.5000,137.0000
2017-11-02,14:29:01,0.0000,0.0000,21410.5000,21410.5000,787.5000,0.0000
2017-11-02,14:29:03,0.0000,0.0000,20790.5000,20790.5000,711.0000,0.0000
2017-11-02,14:29:05,0.0000,0.0000,23876.5000,23876.5000,635.0000,0.0000
2017-11-02,14:29:07,0.0000,0.0000,10087.0000,10087.0000,545.0000,0.0000
2017-11-02,14:29:09,0.0000,0.0000,18002.5000,18002.5000,488.0000,90.0000
2017-11-02,14:29:11,0.0000,0.0000,26530.5000,26530.5000,823.5000,0.0000
2017-11-02,14:29:14,0.0000,0.0000,22573.5000,22573.5000,9494.0000,2893.0000
2017-11-02,14:29:16,0.0000,0.0000,27674.0000,27674.0000,531.0000,141.0000
2017-11-02,14:29:18,0.0000,0.0000,6132.0000,6132.0000,517.0000,0.0000
2017-11-02,14:29:20,0.0000,0.0000,25382.5000,25382.5000,365.0000,94.0000
2017-11-02,14:29:22,0.0000,0.0000,8920.5000,8920.5000,398.0000,43.0000
2017-11-02,14:29:24,0.0000,0.0000,24382.0000,24382.0000,455.0000,0.0000
2017-11-02,14:29:26,0.0000,0.0000,11325.5000,11325.5000,455.0000,0.0000
2017-11-02,14:29:28,0.0000,0.0000,3911.5000,3911.5000,637.5000,94.0000
2017-11-02,14:29:30,0.0000,0.0000,12883.0000,12883.0000,511.0000,0.0000
2017-11-02,14:29:33,0.0000,0.0000,10662.5000,10662.5000,744.0000,0.0000
2017-11-02,14:29:35,0.0000,0.0000,8432.5000,8432.5000,589.5000,0.0000
2017-11-02,14:29:37,0.0000,0.0000,16698.0000,16698.0000,4677.0000,1584.0000
2017-11-02,14:29:39,0.0000,0.0000,9888.0000,9888.0000,545.0000,235.0000
2017-11-02,14:29:41,0.0000,0.0000,26034.5000,26034.5000,335.0000,235.0000
2017-11-02,14:29:43,0.0000,0.0000,26586.5000,26586.5000,773.0000,47.0000
2017-11-02,14:29:45,0.0000,0.0000,8990.5000,8990.5000,782.0000,282.0000
2017-11-02,14:29:47,0.0000,0.0000,8953.0000,8953.0000,922.5000,94.0000
2017-11-02,14:29:49,0.0000,0.0000,15646.5000,15646.5000,588.5000,0.0000
2017-11-02,14:29:52,0.0000,0.0000,19694.5000,19694.5000,935.5000,188.0000
2017-11-02,14:29:54,0.0000,0.0000,15256.5000,15256.5000,663.5000,94.0000
2017-11-02,14:29:56,0.0000,0.0000,24394.5000,24394.5000,1049.5000,33.0000
2017-11-02,14:29:58,0.0000,0.0000,3820.0000,3820.0000,631.5000,47.0000
2017-11-02,14:30:00,0.0000,0.0000,13790.5000,13790.5000,656.5000,0.0000
2017-11-02,14:30:02,0.0000,0.0000,25078.5000,25078.5000,701.5000,47.0000
2017-11-02,14:30:04,0.0000,0.0000,20634.5000,20634.5000,581.0000,47.0000
2017-11-02,14:30:06,0.0000,0.0000,22085.5000,22085.5000,305.0000,47.0000
2017-11-02,14:30:09,0.0000,0.0000,2333.5000,2333.5000,425.0000,266.0000
2017-11-02,14:30:11,0.0000,0.0000,22368.5000,22368.5000,714.0000,47.0000
2017-11-02,14:30:13,0.0000,0.0000,28085.5000,28085.5000,889.5000,330.5000
2017-11-02,14:30:15,0.0000,0.0000,19284.5000,19284.5000,792.5000,141.0000
2017-11-02,14:30:17,0.0000,0.0000,9120.5000,9120.5000,1434.0000,188.0000
2017-11-02,14:30:19,0.0000,0.0000,3095.5000,3095.5000,2088.0000,113.0000
2017-11-02,14:30:21,0.0000,0.0000,13004.5000,13004.5000,1462.5000,94.0000
2017-11-02,14:30:23,0.0000,0.0000,9154.5000,9154.5000,1432.5000,0.0000
2017-11-02,14:30:25,0.0000,0.0000,11120.5000,11120.5000,1416.5000,0.0000
2017-11-02,14:30:28,0.0000,0.0000,13123.0000,13123.0000,886.0000,47.0000
2017-11-02,14:30:30,0.0000,0.0000,3824.0000,3824.0000,779.0000,47.0000
2017-11-02,14:30:32,0.0000,0.0000,16004.5000,16004.5000,473.0000,0.0000
2017-11-02,14:30:34,0.0000,0.0000,13332.5000,13332.5000,767.5000,47.0000
2017-11-02,14:30:36,0.0000,0.0000,18276.5000,18276.5000,1936.5000,33.0000
2017-11-02,14:30:38,0.0000,0.0000,7748.0000,7748.0000,4562.5000,0.0000
2017-11-02,14:30:40,0.0000,0.0000,15006.5000,15006.5000,8471.5000,254.0000
2017-11-02,14:30:42,0.0000,0.0000,23642.5000,23642.5000,2149.0000,47.0000
2017-11-02,14:30:44,0.0000,0.0000,27850.5000,27850.5000,3301.0000,127.0000
2017-11-02,14:30:47,0.0000,0.0000,24224.5000,24224.5000,1308.5000,0.0000
2017-11-02,14:30:49,0.0000,0.0000,6121.0000,6121.0000,1913.0000,0.0000
2017-11-02,14:30:51,0.0000,0.0000,23872.5000,23872.5000,795.0000,78.0000
2017-11-02,14:30:53,0.0000,0.0000,20706.5000,20706.5000,1152.0000,94.0000
2017-11-02,14:30:55,0.0000,0.0000,22784.5000,22784.5000,1250.5000,47.0000
2017-11-02,14:30:57,0.0000,0.0000,24963.0000,24963.0000,822.0000,0.0000
2017-11-02,14:30:59,0.0000,0.0000,5148.0000,5148.0000,931.0000,47.0000
2017-11-02,14:31:01,0.0000,0.0000,28503.0000,28503.0000,1295.0000,0.0000
2017-11-02,14:31:03,0.0000,0.0000,29390.5000,29390.5000,2005.5000,0.0000
2017-11-02,14:31:06,0.0000,0.0000,23372.5000,23372.5000,1167.0000,47.0000
2017-11-02,14:31:08,0.0000,0.0000,15895.0000,15895.0000,1090.5000,47.0000
2017-11-02,14:31:10,0.0000,0.0000,10518.5000,10518.5000,1231.0000,0.0000
2017-11-02,14:31:12,0.0000,0.0000,25224.5000,25224.5000,637.0000,0.0000
2017-11-02,14:31:14,0.0000,0.0000,24504.5000,24504.5000,825.5000,0.0000
2017-11-02,14:31:16,0.0000,0.0000,17862.5000,17862.5000,1182.5000,47.0000
2017-11-02,14:31:18,0.0000,0.0000,10165.0000,10165.0000,1781.5000,80.0000
2017-11-02,14:31:20,0.0000,0.0000,16086.5000,16086.5000,1514.5000,127.0000
2017-11-02,14:31:23,0.0000,0.0000,18732.5000,18732.5000,536.0000,141.0000
