date,time,sda_read,sda_write,sda1_read,sda1_write,sda2_read,sda2_write,sda5_read,sda5_write,sda6_read,sda6_write,sda7_read,sda7_write,sda8_read,sda8_write,sda9_read,sda9_write,sda10_read,sda10_write,sda11_read,sda11_write,sda12_read,sda12_write
2017-11-02,13:53:50,177.81,304.87,0.08,0.00,0.00,0.00,0.04,0.00,0.32,0.04,0.04,0.00,0.04,0.00,0.17,18.54,78.34,24.94,0.07,0.00,98.70,261.33
2017-11-02,13:53:53,177.79,304.82,0.08,0.00,0.00,0.00,0.04,0.00,0.32,0.04,0.04,0.00,0.04,0.00,0.17,18.54,78.33,24.94,0.07,0.00,98.68,261.28
2017-11-02,13:53:55,177.76,304.83,0.08,0.00,0.00,0.00,0.04,0.00,0.32,0.04,0.04,0.00,0.04,0.00,0.17,18.54,78.31,24.95,0.07,0.00,98.66,261.30
2017-11-02,13:53:58,177.73,304.79,0.08,0.00,0.00,0.00,0.04,0.00,0.32,0.04,0.04,0.00,0.04,0.00,0.17,18.54,78.30,24.95,0.07,0.00,98.65,261.25
2017-11-02,13:54:01,177.70,304.74,0.08,0.00,0.00,0.00,0.04,0.00,0.32,0.04,0.04,0.00,0.04,0.00,0.17,18.53,78.29,24.94,0.07,0.00,98.63,261.21
2017-11-02,13:54:03,177.67,304.69,0.08,0.00,0.00,0.00,0.04,0.00,0.32,0.04,0.04,0.00,0.04,0.00,0.17,18.53,78.27,24.94,0.07,0.00,98.61,261.18
2017-11-02,13:54:06,177.64,304.66,0.08,0.00,0.00,0.00,0.04,0.00,0.32,0.04,0.04,0.00,0.04,0.00,0.17,18.53,78.26,24.94,0.07,0.00,98.60,261.14
2017-11-02,13:54:09,177.61,304.62,0.08,0.00,0.00,0.00,0.04,0.00,0.32,0.04,0.04,0.00,0.04,0.00,0.17,18.52,78.25,24.94,0.07,0.00,98.58,261.10
2017-11-02,13:54:11,177.58,304.56,0.08,0.00,0.00,0.00,0.04,0.00,0.32,0.04,0.04,0.00,0.04,0.00,0.17,18.52,78.23,24.93,0.07,0.00,98.56,261.06
2017-11-02,13:54:14,177.55,304.52,0.08,0.00,0.00,0.00,0.04,0.00,0.32,0.04,0.04,0.00,0.04,0.00,0.17,18.52,78.22,24.93,0.07,0.00,98.55,261.02
2017-11-02,13:54:17,177.52,304.47,0.08,0.00,0.00,0.00,0.04,0.00,0.32,0.04,0.04,0.00,0.04,0.00,0.17,18.51,78.21,24.92,0.07,0.00,98.53,260.97
2017-11-02,13:54:19,177.49,304.42,0.08,0.00,0.00,0.00,0.04,0.00,0.32,0.04,0.04,0.00,0.04,0.00,0.17,18.51,78.19,24.92,0.07,0.00,98.51,260.93
2017-11-02,13:54:22,177.46,304.37,0.08,0.00,0.00,0.00,0.04,0.00,0.32,0.04,0.04,0.00,0.04,0.00,0.17,18.51,78.18,24.92,0.07,0.00,98.50,260.89
2017-11-02,13:54:25,177.43,304.31,0.08,0.00,0.00,0.00,0.04,0.00,0.32,0.04,0.04,0.00,0.04,0.00,0.17,18.50,78.17,24.91,0.07,0.00,98.48,260.85
