date,time,sda_read,sda_write,sda1_read,sda1_write,sda2_read,sda2_write,sda5_read,sda5_write,sda6_read,sda6_write,sda7_read,sda7_write,sda8_read,sda8_write,sda9_read,sda9_write,sda10_read,sda10_write,sda11_read,sda11_write,sda12_read,sda12_write
2018-05-31,23:01:56,257.31,165.13,0.49,0.00,0.00,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.10,0.03,124.45,9.65,0.14,0.00,131.75,155.44
2018-05-31,23:01:58,257.22,165.13,0.49,0.00,0.00,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.10,0.03,124.41,9.65,0.14,0.00,131.71,155.43
2018-05-31,23:02:01,257.13,165.07,0.49,0.00,0.00,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.10,0.03,124.36,9.66,0.14,0.00,131.66,155.37
2018-05-31,23:02:04,257.04,166.63,0.49,0.00,0.00,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.10,0.03,124.32,9.65,0.13,0.00,131.62,156.93
2018-05-31,23:02:06,256.95,166.57,0.49,0.00,0.00,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.10,0.03,124.28,9.66,0.13,0.00,131.57,156.88
2018-05-31,23:02:09,256.86,166.52,0.49,0.00,0.00,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.10,0.03,124.23,9.65,0.13,0.00,131.53,156.83
2018-05-31,23:02:12,256.78,166.47,0.49,0.00,0.00,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.10,0.03,124.19,9.65,0.13,0.00,131.48,156.78
2018-05-31,23:02:14,256.69,166.42,0.49,0.00,0.00,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.10,0.03,124.15,9.65,0.13,0.00,131.44,156.73
2018-05-31,23:02:17,256.60,166.39,0.49,0.00,0.00,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.10,0.03,124.11,9.64,0.13,0.00,131.39,156.70
2018-05-31,23:02:20,256.51,166.33,0.49,0.00,0.00,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.10,0.03,124.06,9.64,0.13,0.00,131.35,156.65
2018-05-31,23:02:22,256.42,166.29,0.49,0.00,0.00,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.10,0.03,124.02,9.64,0.13,0.00,131.30,156.61
2018-05-31,23:02:25,256.34,166.27,0.49,0.00,0.00,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.08,0.00,0.10,0.03,123.98,9.63,0.13,0.00,131.26,156.59
