date,time,mem,vmem
2018-05-31,23:01:56,71.1818,17.3747
2018-05-31,23:01:58,71.1942,17.3976
2018-05-31,23:02:00,71.1995,17.3794
2018-05-31,23:02:02,71.2000,17.3992
2018-05-31,23:02:04,71.2190,17.4143
2018-05-31,23:02:06,71.2254,17.4262
2018-05-31,23:02:08,71.2207,17.4508
2018-05-31,23:02:10,71.2257,17.4460
2018-05-31,23:02:12,71.2459,17.3945
2018-05-31,23:02:14,71.2433,17.3850
2018-05-31,23:02:16,71.2437,17.4269
2018-05-31,23:02:18,71.2557,17.3723
2018-05-31,23:02:20,71.2835,17.4032
2018-05-31,23:02:22,71.2659,17.3850
2018-05-31,23:02:24,71.2837,17.3565
2018-05-31,23:02:27,71.2739,17.3913
2018-05-31,23:02:29,71.3077,17.3273
2018-05-31,23:02:31,71.3121,17.3621
2018-05-31,23:02:33,71.3046,17.3605
2018-05-31,23:02:35,71.3098,17.3660
2018-05-31,23:02:37,71.3072,17.3723
2018-05-31,23:02:39,71.3136,17.4000
2018-05-31,23:02:41,71.3117,17.3423
2018-05-31,23:02:43,71.2856,17.4039
2018-05-31,23:02:45,71.2907,17.3771
2018-05-31,23:02:47,71.2846,17.4103
2018-05-31,23:02:49,71.2869,17.3787
2018-05-31,23:02:51,71.3092,17.3621
2018-05-31,23:02:53,71.2899,17.3636
2018-05-31,23:02:55,71.3070,17.3652
2018-05-31,23:02:57,71.3009,17.3573
2018-05-31,23:02:59,71.3137,17.3557
2018-05-31,23:03:02,71.3138,17.3921
2018-05-31,23:03:04,71.3111,17.4830
2018-05-31,23:03:06,71.3117,17.3557
2018-05-31,23:03:08,71.3187,17.3723
2018-05-31,23:03:10,71.3133,17.3557
2018-05-31,23:03:12,71.3133,17.3163
2018-05-31,23:03:14,71.3093,17.3012
2018-05-31,23:03:16,71.3429,17.2831
2018-05-31,23:03:18,71.3363,17.2831
2018-05-31,23:03:20,71.3646,17.2831
2018-05-31,23:03:22,71.3580,17.3194
2018-05-31,23:03:24,71.3502,17.3012
2018-05-31,23:03:26,71.3599,17.3012
2018-05-31,23:03:28,71.3771,17.3723
2018-05-31,23:03:30,71.3775,17.3376
2018-05-31,23:03:32,71.3674,17.3376
2018-05-31,23:03:34,71.3823,17.3557
2018-05-31,23:03:37,71.3704,17.3557
2018-05-31,23:03:39,71.3830,17.3557
2018-05-31,23:03:41,71.3735,17.3921
2018-05-31,23:03:43,71.3775,17.3921
2018-05-31,23:03:45,71.3819,17.4103
2018-05-31,23:03:47,71.3505,17.4830
2018-05-31,23:03:49,70.5150,17.2633
2018-05-31,23:03:51,70.5146,17.2041
2018-05-31,23:03:53,70.5158,17.2041
2018-05-31,23:03:55,70.5120,17.2041
2018-05-31,23:03:57,70.5129,17.2768
2018-05-31,23:03:59,70.5162,17.2041
2018-05-31,23:04:01,70.5301,17.2223
2018-05-31,23:04:03,70.5280,17.1133
2018-05-31,23:04:05,57.0088,16.0335
2018-05-31,23:04:07,50.3200,13.0576
2018-05-31,23:04:09,50.3280,13.1541
2018-05-31,23:04:12,40.5545,13.5089
2018-05-31,23:04:14,40.5470,11.9950
2018-05-31,23:04:16,40.5893,11.8491
2018-05-31,23:04:18,22.6962,10.3825
2018-05-31,23:04:20,22.6906,10.3669
2018-05-31,23:04:22,22.7498,10.3669
2018-05-31,23:04:24,22.7325,10.4062
2018-05-31,23:04:26,22.7310,10.3886
2018-05-31,23:04:28,22.7419,10.4144
2018-05-31,23:04:30,22.7214,10.3553
2018-05-31,23:04:32,22.7351,10.3750
2018-05-31,23:04:34,22.7275,10.3357
2018-05-31,23:04:36,22.7384,10.3553
2018-05-31,23:04:38,24.3787,10.6900
2018-05-31,23:04:40,25.1801,10.9443
2018-05-31,23:04:42,25.8389,11.0628
2018-05-31,23:04:44,26.3423,11.1473
2018-05-31,23:04:46,27.2023,11.1287
2018-05-31,23:04:49,27.9488,11.1507
2018-05-31,23:04:51,28.4871,11.1772
2018-05-31,23:04:53,29.0551,11.1970
2018-05-31,23:04:55,29.4558,11.2721
2018-05-31,23:04:57,29.7220,11.1795
2018-05-31,23:04:59,29.9376,11.0802
2018-05-31,23:05:01,30.2433,11.0913
2018-05-31,23:05:03,30.5627,11.1507
2018-05-31,23:05:05,30.7075,11.1111
2018-05-31,23:05:07,31.0170,11.1111
2018-05-31,23:05:09,31.3859,11.1507
2018-05-31,23:05:11,31.6225,11.2299
2018-05-31,23:05:13,31.8993,11.1111
2018-05-31,23:05:15,32.3589,11.1507
