date,time,eth1_recv,eth1_send,lo_recv,lo_send,wlan0_recv,wlan0_send
2018-05-31,23:01:58,0.0000,42.0000,63834.5000,63834.5000,0.0000,0.0000
2018-05-31,23:02:00,79.5000,0.0000,55811.5000,55811.5000,79.5000,0.0000
2018-05-31,23:02:02,0.0000,42.0000,35634.5000,35634.5000,0.0000,0.0000
2018-05-31,23:02:04,121.5000,0.0000,31156.5000,31156.5000,121.5000,0.0000
2018-05-31,23:02:06,30.0000,42.0000,37638.0000,37638.0000,21.0000,0.0000
2018-05-31,23:02:08,314.0000,21.0000,56641.0000,56641.0000,307.0000,0.0000
2018-05-31,23:02:10,142.0000,42.0000,44257.5000,44257.5000,2035.5000,0.0000
2018-05-31,23:02:13,30.0000,21.0000,21159.0000,21159.0000,237.0000,0.0000
2018-05-31,23:02:15,0.0000,42.0000,28514.0000,28514.0000,108.0000,0.0000
2018-05-31,23:02:17,0.0000,42.0000,37151.0000,37151.0000,0.0000,0.0000
2018-05-31,23:02:19,0.0000,42.0000,43599.0000,43599.0000,0.0000,0.0000
2018-05-31,23:02:21,79.5000,21.0000,48858.5000,48858.5000,79.5000,0.0000
2018-05-31,23:02:23,0.0000,42.0000,33092.5000,33092.5000,0.0000,0.0000
2018-05-31,23:02:25,0.0000,0.0000,33982.0000,33982.0000,0.0000,0.0000
2018-05-31,23:02:27,0.0000,0.0000,46825.5000,46825.5000,43.0000,0.0000
2018-05-31,23:02:30,0.0000,42.0000,39628.5000,39628.5000,303.0000,0.0000
2018-05-31,23:02:32,0.0000,21.0000,51412.5000,51412.5000,303.0000,0.0000
2018-05-31,23:02:34,0.0000,0.0000,34418.0000,34418.0000,43.0000,0.0000
2018-05-31,23:02:36,0.0000,0.0000,21737.5000,21737.5000,86.0000,0.0000
2018-05-31,23:02:38,30.0000,42.0000,39520.5000,39520.5000,64.0000,0.0000
2018-05-31,23:02:40,79.5000,21.0000,61232.0000,61232.0000,1646.5000,0.0000
2018-05-31,23:02:42,0.0000,0.0000,37438.0000,37438.0000,0.0000,0.0000
2018-05-31,23:02:44,30.0000,0.0000,39241.0000,39241.0000,107.0000,0.0000
2018-05-31,23:02:46,0.0000,42.0000,38492.0000,38492.0000,43.0000,0.0000
2018-05-31,23:02:49,0.0000,21.0000,51818.5000,51818.5000,106.5000,0.0000
2018-05-31,23:02:51,0.0000,0.0000,54023.5000,54023.5000,535.5000,0.0000
2018-05-31,23:02:53,0.0000,0.0000,23977.0000,23977.0000,216.0000,0.0000
2018-05-31,23:02:55,0.0000,0.0000,33481.0000,33481.0000,54.0000,0.0000
2018-05-31,23:02:57,0.0000,0.0000,26838.0000,26838.0000,0.0000,0.0000
2018-05-31,23:02:59,0.0000,42.0000,58603.0000,58603.0000,43.0000,0.0000
2018-05-31,23:03:01,79.5000,21.0000,43948.0000,43948.0000,165.5000,0.0000
2018-05-31,23:03:03,0.0000,0.0000,19030.0000,19030.0000,27.0000,0.0000
2018-05-31,23:03:05,0.0000,0.0000,23829.5000,23829.5000,0.0000,0.0000
2018-05-31,23:03:08,0.0000,0.0000,36478.5000,36478.5000,0.0000,0.0000
2018-05-31,23:03:10,30.0000,0.0000,48261.5000,48261.5000,21.0000,0.0000
2018-05-31,23:03:12,0.0000,0.0000,37461.5000,37461.5000,1755.5000,0.0000
2018-05-31,23:03:14,0.0000,21.0000,29454.0000,29454.0000,0.0000,0.0000
2018-05-31,23:03:16,30.0000,42.0000,26145.0000,26145.0000,21.0000,0.0000
2018-05-31,23:03:18,0.0000,0.0000,31774.0000,31774.0000,0.0000,0.0000
2018-05-31,23:03:20,79.5000,0.0000,37468.5000,37468.5000,187.5000,0.0000
