date,time,sda_read,sda_write,sda1_read,sda1_write,sda2_read,sda2_write,sda5_read,sda5_write,sda6_read,sda6_write,sda7_read,sda7_write,sda8_read,sda8_write,sda9_read,sda9_write,sda10_read,sda10_write,sda11_read,sda11_write,sda12_read,sda12_write
2017-11-02,20:52:50,126.52,265.31,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.80,25.77,65.20,13.83,0.03,0.00,55.21,225.34
2017-11-02,20:52:53,126.51,265.33,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.80,25.77,65.20,13.83,0.03,0.00,55.21,225.36
2017-11-02,20:52:55,126.50,265.32,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.80,25.77,65.19,13.83,0.03,0.00,55.21,225.35
2017-11-02,20:52:58,126.49,265.30,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.80,25.77,65.19,13.83,0.03,0.00,55.20,225.34
2017-11-02,20:53:01,126.49,265.28,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.80,25.76,65.19,13.83,0.03,0.00,55.20,225.32
2017-11-02,20:53:03,126.48,265.27,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.80,25.76,65.18,13.83,0.03,0.00,55.20,225.31
2017-11-02,20:53:06,126.47,265.25,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.80,25.76,65.18,13.83,0.03,0.00,55.19,225.29
2017-11-02,20:53:09,126.46,265.25,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.80,25.76,65.17,13.83,0.03,0.00,55.19,225.30
2017-11-02,20:53:11,126.45,265.24,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.79,25.76,65.17,13.83,0.03,0.00,55.19,225.28
2017-11-02,20:53:14,126.44,265.22,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.79,25.76,65.16,13.83,0.03,0.00,55.18,225.27
2017-11-02,20:53:17,126.44,265.20,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.79,25.75,65.16,13.83,0.03,0.00,55.18,225.25
2017-11-02,20:53:19,126.43,265.20,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.79,25.75,65.16,13.83,0.03,0.00,55.18,225.25
2017-11-02,20:53:22,126.42,265.18,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.79,25.75,65.15,13.83,0.03,0.00,55.17,225.24
2017-11-02,20:53:25,126.41,265.18,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.79,25.75,65.15,13.83,0.03,0.00,55.17,225.23
2017-11-02,20:53:27,126.40,265.16,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.79,25.75,65.14,13.83,0.03,0.00,55.16,225.22
2017-11-02,20:53:30,126.40,265.14,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.79,25.75,65.14,13.83,0.03,0.00,55.16,225.20
2017-11-02,20:53:33,126.39,265.12,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.79,25.74,65.14,13.83,0.03,0.00,55.16,225.19
2017-11-02,20:53:35,126.38,265.11,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.79,25.74,65.13,13.83,0.03,0.00,55.15,225.17
2017-11-02,20:53:38,126.37,265.09,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.79,25.74,65.13,13.82,0.03,0.00,55.15,225.16
2017-11-02,20:53:40,126.36,265.08,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.79,25.74,65.12,13.82,0.03,0.00,55.15,225.15
2017-11-02,20:53:43,126.35,265.06,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.79,25.74,65.12,13.82,0.03,0.00,55.14,225.13
2017-11-02,20:53:46,126.35,265.04,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.79,25.74,65.11,13.82,0.03,0.00,55.14,225.12
2017-11-02,20:53:48,126.34,265.03,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.79,25.73,65.11,13.82,0.03,0.00,55.14,225.11
2017-11-02,20:53:51,126.33,265.01,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.79,25.73,65.11,13.82,0.03,0.00,55.13,225.09
2017-11-02,20:53:54,126.32,265.02,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.79,25.73,65.10,13.82,0.03,0.00,55.13,225.10
2017-11-02,20:53:56,126.31,265.00,0.03,0.00,0.00,0.00,0.02,0.00,0.19,0.36,0.02,0.00,0.02,0.00,5.79,25.73,65.10,13.82,0.03,0.00,55.13,225.08
