date,time,mem,vmem
2017-11-02,20:52:50,69.5683,14.1627
2017-11-02,20:52:52,69.6172,14.1444
2017-11-02,20:52:54,69.6460,14.1444
2017-11-02,20:52:56,69.6354,14.1627
2017-11-02,20:52:58,69.4176,14.1810
2017-11-02,20:53:00,69.0068,14.1823
2017-11-02,20:53:02,69.0810,14.1823
2017-11-02,20:53:04,69.0442,14.1823
2017-11-02,20:53:06,69.0402,14.1640
2017-11-02,20:53:09,69.0494,14.1640
2017-11-02,20:53:11,69.0594,14.1640
2017-11-02,20:53:13,69.0708,14.1640
2017-11-02,20:53:15,69.0848,14.1536
2017-11-02,20:53:17,69.1483,14.1536
2017-11-02,20:53:19,69.1360,14.1536
2017-11-02,20:53:21,69.1938,14.1536
2017-11-02,20:53:23,69.1011,14.1170
2017-11-02,20:53:25,69.1526,14.1170
2017-11-02,20:53:27,69.1389,14.1170
2017-11-02,20:53:29,69.1685,14.1170
2017-11-02,20:53:31,69.1589,14.0987
2017-11-02,20:53:33,69.3520,14.0987
2017-11-02,20:53:35,69.3920,14.0804
2017-11-02,20:53:37,69.3937,14.0804
2017-11-02,20:53:39,69.4468,14.0621
2017-11-02,20:53:41,69.3733,14.1170
2017-11-02,20:53:44,69.3925,14.0621
2017-11-02,20:53:46,69.4183,14.0621
2017-11-02,20:53:48,69.4654,14.0621
2017-11-02,20:53:50,69.5036,14.0621
2017-11-02,20:53:52,69.5387,14.0450
2017-11-02,20:53:54,69.5154,14.1000
2017-11-02,20:53:56,69.4878,14.0450
2017-11-02,20:53:58,69.4692,14.0634
