date,time,eth1_recv,eth1_send,lo_recv,lo_send,wlan0_recv,wlan0_send
2017-11-02,20:52:52,0.0000,0.0000,10784.5000,10784.5000,1111.0000,47.0000
2017-11-02,20:52:54,0.0000,0.0000,15419.0000,15419.0000,2147.5000,1214.0000
2017-11-02,20:52:56,0.0000,0.0000,16658.5000,16658.5000,2396.5000,1181.0000
2017-11-02,20:52:58,0.0000,0.0000,12612.5000,12612.5000,3359.5000,774.5000
2017-11-02,20:53:01,0.0000,0.0000,6152.0000,6152.0000,3264.0000,594.5000
2017-11-02,20:53:03,0.0000,0.0000,16958.0000,16958.0000,2294.0000,1002.0000
2017-11-02,20:53:05,0.0000,0.0000,16851.5000,16851.5000,1126.5000,459.5000
2017-11-02,20:53:07,0.0000,0.0000,14669.0000,14669.0000,2262.0000,817.0000
2017-11-02,20:53:09,0.0000,0.0000,9383.5000,9383.5000,1904.5000,639.0000
2017-11-02,20:53:11,0.0000,0.0000,6704.5000,6704.5000,1492.5000,636.0000
2017-11-02,20:53:13,0.0000,0.0000,15625.0000,15625.0000,1477.0000,730.0000
2017-11-02,20:53:15,0.0000,0.0000,10958.0000,10958.0000,1838.0000,590.5000
2017-11-02,20:53:17,0.0000,0.0000,12531.0000,12531.0000,2402.5000,863.5000
2017-11-02,20:53:20,0.0000,0.0000,13151.0000,13151.0000,2552.0000,1228.0000
2017-11-02,20:53:22,0.0000,0.0000,6886.5000,6886.5000,2298.0000,1181.0000
2017-11-02,20:53:24,0.0000,0.0000,13611.5000,13611.5000,962.5000,0.0000
2017-11-02,20:53:26,0.0000,0.0000,11083.5000,11083.5000,2140.0000,1228.0000
2017-11-02,20:53:28,0.0000,0.0000,11150.5000,11150.5000,2674.0000,1181.0000
2017-11-02,20:53:30,0.0000,0.0000,14303.0000,14303.0000,485.0000,180.0000
2017-11-02,20:53:32,0.0000,0.0000,7510.5000,7510.5000,395.0000,0.0000
2017-11-02,20:53:34,0.0000,0.0000,14575.5000,14575.5000,2278.0000,1267.0000
2017-11-02,20:53:37,0.0000,0.0000,13892.5000,13892.5000,2956.5000,1310.0000
2017-11-02,20:53:39,0.0000,0.0000,14171.0000,14171.0000,1940.5000,719.5000
2017-11-02,20:53:41,0.0000,0.0000,8218.5000,8218.5000,1043.5000,205.0000
2017-11-02,20:53:43,0.0000,0.0000,13753.0000,13753.0000,1370.5000,172.0000
2017-11-02,20:53:45,0.0000,0.0000,14994.0000,14994.0000,1325.5000,0.0000
2017-11-02,20:53:47,0.0000,0.0000,12625.0000,12625.0000,979.0000,172.0000
2017-11-02,20:53:49,0.0000,0.0000,11969.0000,11969.0000,736.5000,129.0000
2017-11-02,20:53:51,0.0000,0.0000,7032.0000,7032.0000,773.0000,0.0000
2017-11-02,20:53:53,0.0000,0.0000,15757.5000,15757.5000,1089.5000,0.0000
2017-11-02,20:53:56,0.0000,0.0000,12839.0000,12839.0000,886.0000,0.0000
2017-11-02,20:53:58,0.0000,0.0000,12335.5000,12335.5000,907.5000,119.0000
2017-11-02,20:54:00,0.0000,0.0000,6315.0000,6315.0000,994.0000,0.0000
