date,time,mem,vmem
2017-11-02,19:54:31,79.3004,14.4055
2017-11-02,19:54:33,79.3818,14.4265
2017-11-02,19:54:35,79.4045,14.3897
2017-11-02,19:54:37,79.4145,14.4265
2017-11-02,19:54:39,79.4088,14.4081
2017-11-02,19:54:41,79.3353,14.3160
2017-11-02,19:54:43,79.3554,14.2976
2017-11-02,19:54:45,79.3706,14.2976
2017-11-02,19:54:47,79.3925,14.2791
2017-11-02,19:54:49,79.3900,14.2791
2017-11-02,19:54:51,79.3712,14.2791
2017-11-02,19:54:53,79.4089,14.2791
2017-11-02,19:54:55,79.4057,14.2791
2017-11-02,19:54:57,79.4385,14.2976
2017-11-02,19:55:00,79.4394,14.2976
2017-11-02,19:55:02,79.4338,14.3344
2017-11-02,19:55:04,79.4509,14.2791
2017-11-02,19:55:06,79.4488,14.2976
2017-11-02,19:55:08,79.4761,14.2791
2017-11-02,19:55:10,79.4925,14.3528
2017-11-02,19:55:12,79.4874,14.2976
2017-11-02,19:55:14,79.5119,14.2976
2017-11-02,19:55:16,79.5269,14.2976
2017-11-02,19:55:18,79.3698,14.2791
