date,time,eth1_recv,eth1_send,lo_recv,lo_send,wlan0_recv,wlan0_send
2017-11-02,19:54:33,0.0000,0.0000,18898.0000,18898.0000,351.0000,141.0000
2017-11-02,19:54:35,0.0000,0.0000,16659.0000,16659.0000,2329.5000,1228.0000
2017-11-02,19:54:37,0.0000,0.0000,20589.0000,20589.0000,1959.5000,1226.5000
2017-11-02,19:54:39,0.0000,0.0000,16332.0000,16332.0000,2267.0000,1181.0000
2017-11-02,19:54:41,0.0000,0.0000,9237.5000,9237.5000,2038.5000,1181.0000
2017-11-02,19:54:43,0.0000,0.0000,26034.5000,26034.5000,731.0000,0.0000
2017-11-02,19:54:45,0.0000,0.0000,24477.5000,24477.5000,2051.0000,1228.0000
2017-11-02,19:54:48,0.0000,0.0000,23510.0000,23510.0000,2409.5000,1181.0000
2017-11-02,19:54:50,0.0000,0.0000,9353.0000,9353.0000,536.0000,0.0000
2017-11-02,19:54:52,0.0000,0.0000,17783.5000,17783.5000,1920.0000,1181.0000
2017-11-02,19:54:54,0.0000,0.0000,25723.5000,25723.5000,1890.0000,1181.0000
2017-11-02,19:54:56,0.0000,0.0000,23999.5000,23999.5000,1287.5000,728.5000
2017-11-02,19:54:58,0.0000,0.0000,24875.0000,24875.0000,1526.0000,593.0000
2017-11-02,19:55:00,0.0000,0.0000,6536.5000,6536.5000,712.5000,0.0000
2017-11-02,19:55:02,0.0000,0.0000,23657.0000,23657.0000,3421.5000,47.0000
2017-11-02,19:55:04,0.0000,0.0000,24464.0000,24464.0000,6510.5000,47.0000
2017-11-02,19:55:07,0.0000,0.0000,24186.0000,24186.0000,4827.0000,47.0000
2017-11-02,19:55:09,0.0000,0.0000,20489.0000,20489.0000,3877.0000,0.0000
2017-11-02,19:55:11,0.0000,0.0000,7153.5000,7153.5000,2454.0000,0.0000
2017-11-02,19:55:13,0.0000,0.0000,26401.5000,26401.5000,520.0000,0.0000
2017-11-02,19:55:15,0.0000,0.0000,22306.0000,22306.0000,534.0000,0.0000
2017-11-02,19:55:17,0.0000,0.0000,14560.5000,14560.5000,766.0000,133.0000
2017-11-02,19:55:19,0.0000,0.0000,5914.5000,5914.5000,692.0000,86.0000
