date,time,sda_read,sda_write,sda1_read,sda1_write,sda2_read,sda2_write,sda5_read,sda5_write,sda6_read,sda6_write,sda7_read,sda7_write,sda8_read,sda8_write,sda9_read,sda9_write,sda10_read,sda10_write,sda11_read,sda11_write,sda12_read,sda12_write
2017-11-02,20:37:05,126.76,266.69,0.03,0.00,0.00,0.00,0.02,0.00,0.20,0.37,0.02,0.00,0.02,0.00,4.64,26.11,66.19,13.94,0.03,0.00,55.62,226.30
2017-11-02,20:37:08,126.75,266.70,0.03,0.00,0.00,0.00,0.02,0.00,0.20,0.37,0.02,0.00,0.02,0.00,4.64,26.10,66.19,13.94,0.03,0.00,55.61,226.28
2017-11-02,20:37:10,126.74,266.69,0.03,0.00,0.00,0.00,0.02,0.00,0.20,0.37,0.02,0.00,0.02,0.00,4.64,26.10,66.18,13.94,0.03,0.00,55.61,226.27
2017-11-02,20:37:13,126.74,266.67,0.03,0.00,0.00,0.00,0.02,0.00,0.20,0.37,0.02,0.00,0.02,0.00,4.64,26.10,66.18,13.94,0.03,0.00,55.61,226.26
2017-11-02,20:37:16,126.73,266.66,0.03,0.00,0.00,0.00,0.02,0.00,0.20,0.37,0.02,0.00,0.02,0.00,4.64,26.10,66.17,13.94,0.03,0.00,55.60,226.25
2017-11-02,20:37:18,126.72,266.64,0.03,0.00,0.00,0.00,0.02,0.00,0.20,0.37,0.02,0.00,0.02,0.00,4.64,26.10,66.17,13.94,0.03,0.00,55.60,226.23
2017-11-02,20:37:21,126.71,266.63,0.03,0.00,0.00,0.00,0.02,0.00,0.20,0.37,0.02,0.00,0.02,0.00,4.64,26.10,66.16,13.94,0.03,0.00,55.59,226.22
2017-11-02,20:37:24,126.70,266.61,0.03,0.00,0.00,0.00,0.02,0.00,0.20,0.37,0.02,0.00,0.02,0.00,4.64,26.09,66.16,13.94,0.03,0.00,55.59,226.21
2017-11-02,20:37:27,126.69,266.61,0.03,0.00,0.00,0.00,0.02,0.00,0.20,0.37,0.02,0.00,0.02,0.00,4.64,26.09,66.15,13.94,0.03,0.00,55.59,226.21
2017-11-02,20:37:29,126.68,266.60,0.03,0.00,0.00,0.00,0.02,0.00,0.20,0.37,0.02,0.00,0.02,0.00,4.64,26.09,66.15,13.94,0.03,0.00,55.58,226.20
2017-11-02,20:37:32,126.68,266.59,0.03,0.00,0.00,0.00,0.02,0.00,0.20,0.37,0.02,0.00,0.02,0.00,4.64,26.09,66.15,13.94,0.03,0.00,55.58,226.19
2017-11-02,20:37:35,126.67,266.57,0.03,0.00,0.00,0.00,0.02,0.00,0.20,0.37,0.02,0.00,0.02,0.00,4.64,26.09,66.14,13.94,0.03,0.00,55.58,226.17
